id,delivery_person_age,delivery_person_ratings,order_date,order_time,pickup_time,weather_conditions,road_traffic_density,order_type,vehicle_type,multiple_deliveries,festival,city,time_taken_mins,order_year,order_day,order_month,pickup_day_period
1,36,4.2,2022-02-12,21:55,22:10,Fog,Jam,Snack,motorcycle,3,No,Metropolitian,46,2022,Saturday,February,Night
2,21,4.7,2022-02-13,14:55,15:05,Stormy,High,Meal,motorcycle,1,No,Metropolitian,23,2022,Sunday,February,Afternoon
3,23,4.7,2022-03-04,17:30,17:40,Sandstorms,Medium,Drinks,scooter,1,No,Metropolitian,21,2022,Friday,March,Evening
4,34,4.3,2022-02-13,09:20,09:30,Sandstorms,Low,Buffet,motorcycle,0,No,Metropolitian,20,2022,Sunday,February,Morning
5,24,4.7,2022-02-14,19:50,20:05,Fog,Jam,Snack,scooter,1,No,Metropolitian,41,2022,Monday,February,Night
6,29,4.5,2022-04-02,20:25,20:35,Sandstorms,Jam,Buffet,electric_scooter,1,No,Metropolitian,20,2022,Saturday,April,Night
7,35,4.0,2022-03-01,14:55,15:10,Windy,High,Meal,scooter,1,No,Metropolitian,33,2022,Tuesday,March,Afternoon
8,33,4.2,2022-03-16,20:30,20:40,Sandstorms,Jam,Snack,motorcycle,1,No,Metropolitian,40,2022,Wednesday,March,Night
9,21,4.7,2022-02-15,21:15,21:30,Windy,Jam,Meal,motorcycle,1,No,Urban,15,2022,Tuesday,February,Night
10,25,4.1,2022-03-16,20:20,20:25,Sandstorms,Jam,Snack,motorcycle,2,No,Metropolitian,36,2022,Wednesday,March,Night
11,31,4.7,2022-03-10,22:30,22:45,Sandstorms,Low,Meal,electric_scooter,0,No,Metropolitian,26,2022,Thursday,March,Night
12,37,5.0,2022-03-11,08:15,08:30,Sandstorms,Low,Snack,motorcycle,1,No,Metropolitian,20,2022,Friday,March,Morning
13,33,4.3,2022-03-27,19:30,19:45,Windy,Jam,Meal,scooter,1,No,Metropolitian,39,2022,Sunday,March,Evening
14,25,4.0,2022-03-26,12:25,12:30,Cloudy,High,Buffet,motorcycle,1,No,Metropolitian,34,2022,Saturday,March,Afternoon
15,29,4.5,2022-03-27,18:35,18:50,Sunny,Medium,Meal,electric_scooter,1,No,Metropolitian,15,2022,Sunday,March,Evening
16,27,5.0,2022-04-05,20:35,20:40,Stormy,Jam,Snack,motorcycle,0,No,Urban,18,2022,Tuesday,April,Night
17,35,4.3,2022-03-12,23:20,23:30,Cloudy,Low,Drinks,scooter,0,No,Metropolitian,38,2022,Saturday,March,Night
18,32,4.0,2022-03-16,21:20,21:35,Windy,Jam,Buffet,motorcycle,1,No,Metropolitian,47,2022,Wednesday,March,Night
19,23,4.8,2022-04-02,23:35,23:45,Windy,Low,Buffet,electric_scooter,0,No,Urban,12,2022,Saturday,April,Night
20,31,4.8,2022-04-01,22:35,22:50,Sandstorms,Low,Drinks,motorcycle,1,No,Metropolitian,26,2022,Friday,April,Night
21,36,4.1,2022-03-05,22:35,22:40,Stormy,Low,Drinks,motorcycle,1,No,Urban,22,2022,Saturday,March,Night
22,26,4.3,2022-02-11,23:25,23:35,Sandstorms,Low,Buffet,motorcycle,0,No,Urban,21,2022,Friday,February,Night
23,38,4.9,2022-02-11,13:35,13:40,Cloudy,High,Drinks,scooter,1,No,Urban,25,2022,Friday,February,Afternoon
24,32,3.5,2022-03-08,21:35,21:45,Stormy,Jam,Snack,scooter,0,No,Urban,35,2022,Tuesday,March,Night
25,32,4.6,2022-04-02,22:35,22:45,Cloudy,Low,Drinks,scooter,1,No,Metropolitian,30,2022,Saturday,April,Night
26,33,4.9,2022-03-08,18:55,19:10,Sunny,Medium,Snack,motorcycle,1,No,Metropolitian,22,2022,Tuesday,March,Evening
27,20,4.7,2022-04-03,14:15,14:25,Windy,High,Snack,scooter,0,No,Urban,10,2022,Sunday,April,Afternoon
28,35,5.0,2022-04-01,09:45,09:55,Sunny,Low,Snack,scooter,1,No,Urban,11,2022,Friday,April,Morning
29,26,4.9,2022-03-28,08:40,08:55,Stormy,Low,Buffet,scooter,0,No,Metropolitian,11,2022,Monday,March,Morning
30,35,4.3,2022-03-14,17:25,17:30,Cloudy,Medium,Snack,motorcycle,1,No,Metropolitian,33,2022,Monday,March,Evening
31,37,4.7,2022-04-04,19:45,19:50,Sandstorms,Jam,Snack,motorcycle,3,No,Metropolitian,52,2022,Monday,April,Evening
32,28,4.6,2022-03-08,19:10,19:25,Stormy,Jam,Snack,scooter,1,No,Metropolitian,22,2022,Tuesday,March,Evening
33,23,4.9,2022-03-24,21:40,21:45,Sunny,Jam,Drinks,electric_scooter,0,No,Metropolitian,11,2022,Thursday,March,Night
34,37,4.8,2022-03-09,16:45,16:55,Cloudy,Medium,Drinks,motorcycle,1,No,Urban,26,2022,Wednesday,March,Evening
35,33,5.0,2022-03-19,11:30,11:40,Sunny,High,Snack,scooter,1,No,Metropolitian,18,2022,Saturday,March,Morning
36,31,4.9,2022-04-03,15:10,15:15,Fog,Medium,Snack,motorcycle,1,No,Metropolitian,16,2022,Sunday,April,Afternoon
37,31,4.8,2022-03-25,22:45,22:55,Stormy,Low,Drinks,scooter,1,No,Metropolitian,23,2022,Friday,March,Night
38,25,5.0,2022-02-13,22:10,22:25,Cloudy,Low,Snack,motorcycle,0,No,Metropolitian,15,2022,Sunday,February,Night
39,28,4.8,2022-04-04,20:45,20:55,Sandstorms,Jam,Drinks,motorcycle,1,No,Metropolitian,36,2022,Monday,April,Night
40,31,4.7,2022-03-26,22:50,23:05,Cloudy,Low,Snack,motorcycle,0,No,Metropolitian,16,2022,Saturday,March,Night
41,39,4.2,2022-03-02,20:35,20:50,Fog,Jam,Snack,scooter,1,No,Semi-Urban,49,2022,Wednesday,March,Night
42,36,4.7,2022-03-13,20:15,20:20,Cloudy,Jam,Snack,motorcycle,1,No,Metropolitian,30,2022,Sunday,March,Night
43,25,4.8,2022-03-29,22:25,22:35,Sandstorms,Low,Drinks,scooter,0,No,Urban,18,2022,Tuesday,March,Night
44,30,4.4,2022-03-12,22:40,22:55,Cloudy,Low,Drinks,scooter,1,No,Metropolitian,34,2022,Saturday,March,Night
45,33,5.0,2022-03-31,23:50,23:55,Sandstorms,Low,Buffet,motorcycle,0,No,Urban,24,2022,Thursday,March,Night
46,36,4.9,2022-03-17,15:25,15:40,Fog,Medium,Drinks,scooter,1,No,Metropolitian,17,2022,Thursday,March,Afternoon
47,21,4.8,2022-02-15,10:20,10:30,Sandstorms,Low,Meal,electric_scooter,0,No,Metropolitian,14,2022,Tuesday,February,Morning
48,23,4.8,2022-03-07,10:40,10:50,Stormy,Low,Meal,scooter,1,No,Metropolitian,15,2022,Monday,March,Morning
49,35,4.8,2022-03-28,15:55,16:05,Fog,Medium,Buffet,scooter,1,No,Urban,16,2022,Monday,March,Evening
50,39,4.6,2022-03-16,20:10,20:15,Cloudy,Jam,Snack,scooter,1,No,Metropolitian,36,2022,Wednesday,March,Night
51,22,4.7,2022-03-17,12:10,12:15,Sunny,High,Buffet,scooter,1,No,Urban,18,2022,Thursday,March,Afternoon
52,32,4.6,2022-03-15,15:30,15:45,Fog,Medium,Meal,scooter,0,No,Metropolitian,17,2022,Tuesday,March,Afternoon
53,24,4.8,2022-03-25,22:10,22:15,Sandstorms,Low,Buffet,motorcycle,1,No,Urban,15,2022,Friday,March,Night
54,29,4.7,2022-03-09,10:35,10:45,Fog,Low,Buffet,motorcycle,1,No,Metropolitian,17,2022,Wednesday,March,Morning
55,26,4.7,2022-03-05,23:50,00:05,Fog,Low,Buffet,motorcycle,0,No,Metropolitian,10,2022,Saturday,March,Midnight
56,20,4.5,2022-02-11,21:10,21:25,Fog,Jam,Drinks,motorcycle,1,No,Metropolitian,27,2022,Friday,February,Night
57,35,4.1,2022-03-12,20:25,20:40,Sandstorms,Jam,Buffet,motorcycle,2,No,Metropolitian,37,2022,Saturday,March,Night
58,34,4.7,2022-03-19,12:35,12:45,Windy,High,Drinks,electric_scooter,1,No,Metropolitian,28,2022,Saturday,March,Afternoon
59,30,4.8,2022-02-16,23:40,23:55,Windy,Low,Snack,motorcycle,1,No,Metropolitian,25,2022,Wednesday,February,Night
60,25,4.4,2022-03-27,18:15,18:20,Cloudy,Medium,Snack,scooter,1,No,Metropolitian,39,2022,Sunday,March,Evening
61,25,4.7,2022-03-27,18:20,18:25,Stormy,Medium,Meal,motorcycle,0,No,Urban,20,2022,Sunday,March,Evening
62,30,5.0,2022-03-24,11:45,11:50,Stormy,High,Buffet,motorcycle,1,No,Metropolitian,31,2022,Thursday,March,Morning
63,24,4.6,2022-03-09,20:45,20:55,Stormy,Jam,Buffet,motorcycle,0,No,Metropolitian,13,2022,Wednesday,March,Night
64,25,4.8,2022-02-15,12:45,12:50,Windy,High,Snack,scooter,1,No,Urban,19,2022,Tuesday,February,Afternoon
